candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer,r20_active_percent,r20_count,r20_transfer,r21_active_percent,r21_count,r21_transfer,r22_active_percent,r22_count,r22_transfer,r23_active_percent,r23_count,r23_transfer,r24_active_percent,r24_count,r24_transfer,r25_active_percent,r25_count,r25_transfer,r26_active_percent,r26_count,r26_transfer,r27_active_percent,r27_count,r27_transfer,r28_active_percent,r28_count,r28_transfer,r29_active_percent,r29_count,r29_transfer
Steve.Novick,24.205,20457.0,11.0,24.221,20468.0,11.0,24.242,20479.0,21.0,24.28,20500.0,10.0,24.298,20510.0,8.0,24.316,20518.0,21.0,24.35,20539.0,14.0,24.375,20553.0,13.0,24.438,20566.0,24.0,24.488,20590.0,30.0,24.54,20620.0,48.0,24.606,20668.0,30.0,24.664,20698.0,37.0,24.725,20735.0,54.0,24.811,20789.0,55.0,24.918,20844.0,29.0,24.978,20873.0,63.0,25.104,20936.0,79.0,25.279,21015.0,126.0,25.473,21141.0,-12.0,25.459,21129.0,0.0,25.548,21129.0,0.0,25.615,21129.0,0.0,25.745,21129.0,0.0,25.93,21129.0,0.0,26.123,21129.0,0.0,26.557,21129.0,0.0,26.994,21129.0,0.0,27.935,21129.0,
Angelita.Morillo,19.404,16399.0,12.0,19.42,16411.0,4.0,19.432,16415.0,9.0,19.452,16424.0,41.0,19.506,16465.0,17.0,19.533,16482.0,30.0,19.576,16512.0,35.0,19.624,16547.0,7.0,19.67,16554.0,14.0,19.705,16568.0,21.0,19.743,16589.0,18.0,19.771,16607.0,9.0,19.8,16616.0,80.0,19.909,16696.0,103.0,20.049,16799.0,70.0,20.166,16869.0,229.0,20.46,17098.0,70.0,20.586,17168.0,94.0,20.764,17262.0,463.0,21.357,17725.0,1.476,21.359,17726.476,137.018,21.599,17863.494,525.104,22.292,18388.598,243.023,22.702,18631.621,218.009,23.133,18849.63,397.346,23.796,19246.975,134.02,24.36,19380.995,1208.289,26.304,20589.285,1723.93,29.5,22313.215,
Tiffany.Koyama.Lane,19.31,16320.0,6.0,19.319,16326.0,7.0,19.334,16333.0,5.0,19.35,16338.0,20.0,19.379,16358.0,11.0,19.399,16369.0,18.0,19.428,16387.0,19.0,19.457,16406.0,18.0,19.516,16424.0,5.0,19.539,16429.0,20.0,19.576,16449.0,35.0,19.625,16484.0,10.0,19.655,16494.0,51.0,19.729,16545.0,79.0,19.84,16624.0,66.0,19.952,16690.0,128.0,20.125,16818.0,61.0,20.24,16879.0,157.0,20.492,17036.0,370.0,20.973,17406.0,1.17,20.975,17407.17,216.022,21.309,17623.192,261.049,21.681,17884.241,230.022,22.072,18114.264,194.008,22.469,18308.271,369.163,23.092,18677.434,233.026,23.769,18910.46,1198.208,25.69,20108.668,1562.326,28.651,21670.994,
Kezia.Wanner,6.286,5313.0,1.0,6.288,5314.0,3.0,6.294,5317.0,2.0,6.3,5319.0,8.0,6.311,5327.0,10.0,6.325,5337.0,3.0,6.331,5340.0,9.0,6.344,5349.0,4.0,6.361,5353.0,16.0,6.386,5369.0,5.0,6.396,5374.0,23.0,6.425,5397.0,28.0,6.465,5425.0,23.0,6.496,5448.0,18.0,6.523,5466.0,19.0,6.557,5485.0,20.0,6.588,5505.0,53.0,6.665,5558.0,138.0,6.852,5696.0,18.0,6.885,5714.0,1.189,6.886,5715.189,192.019,7.143,5907.207,124.027,7.312,6031.234,299.032,7.713,6330.266,478.023,8.355,6808.289,215.093,8.683,7023.382,1785.083,11.071,8808.465,826.305,12.309,9634.77,889.284,13.914,10524.054,
Rex.Burkholder,4.675,3951.0,7.0,4.684,3958.0,10.0,4.697,3968.0,6.0,4.707,3974.0,2.0,4.71,3976.0,12.0,4.726,3988.0,7.0,4.736,3995.0,11.0,4.751,4006.0,2.0,4.763,4008.0,8.0,4.776,4016.0,15.0,4.797,4031.0,17.0,4.819,4048.0,16.0,4.843,4064.0,29.0,4.881,4093.0,42.0,4.935,4135.0,25.0,4.973,4160.0,31.0,5.015,4191.0,88.0,5.131,4279.0,95.0,5.261,4374.0,69.0,5.353,4443.0,1.093,5.355,4444.093,191.031,5.604,4635.123,146.109,5.796,4781.232,168.022,6.031,4949.254,177.011,6.291,5126.265,495.867,6.951,5622.132,269.033,7.405,5891.165,921.35,8.703,6812.515,-6812.515,0.0,0.0,
Jesse.Cornett,4.567,3860.0,3.0,4.571,3863.0,9.0,4.584,3872.0,3.0,4.589,3875.0,5.0,4.597,3880.0,10.0,4.61,3890.0,15.0,4.63,3905.0,10.0,4.643,3915.0,1.0,4.653,3916.0,3.0,4.661,3919.0,8.0,4.674,3927.0,13.0,4.691,3940.0,15.0,4.713,3955.0,59.0,4.786,4014.0,38.0,4.836,4052.0,25.0,4.874,4077.0,22.0,4.905,4099.0,47.0,4.971,4146.0,49.0,5.046,4195.0,131.0,5.212,4326.0,1.093,5.214,4327.093,122.014,5.38,4449.107,90.065,5.503,4539.172,295.034,5.89,4834.206,142.006,6.107,4976.212,241.219,6.451,5217.432,223.025,6.838,5440.457,-5440.457,0.0,0.0,0.0,0.0,0.0,
Harrison.Kass,3.296,2786.0,5.0,3.303,2791.0,3.0,3.307,2794.0,6.0,3.316,2800.0,0.0,3.317,2800.0,14.0,3.335,2814.0,4.0,3.341,2818.0,4.0,3.347,2822.0,1.0,3.354,2823.0,8.0,3.367,2831.0,5.0,3.375,2836.0,17.0,3.397,2853.0,44.0,3.452,2897.0,15.0,3.472,2912.0,17.0,3.496,2929.0,12.0,3.516,2941.0,8.0,3.529,2949.0,58.0,3.606,3007.0,76.0,3.709,3083.0,22.0,3.741,3105.0,0.214,3.742,3105.214,78.01,3.849,3183.224,32.008,3.898,3215.232,256.016,4.23,3471.247,338.006,4.675,3809.254,157.024,4.904,3966.278,-3966.278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Philippe.Knab,1.835,1551.0,2.0,1.838,1553.0,2.0,1.841,1555.0,3.0,1.845,1558.0,3.0,1.849,1561.0,4.0,1.855,1565.0,4.0,1.86,1569.0,7.0,1.869,1576.0,2.0,1.875,1578.0,2.0,1.879,1580.0,7.0,1.889,1587.0,21.0,1.914,1608.0,8.0,1.926,1616.0,41.0,1.976,1657.0,3.0,1.981,1660.0,10.0,1.996,1670.0,19.0,2.021,1689.0,43.0,2.077,1732.0,33.0,2.123,1765.0,38.0,2.172,1803.0,3.468,2.177,1806.468,122.026,2.332,1928.494,365.301,2.781,2293.795,87.014,2.901,2380.809,96.006,3.04,2476.815,-2476.815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sandeep.Bali,1.666,1408.0,1.0,1.667,1409.0,4.0,1.673,1413.0,3.0,1.677,1416.0,1.0,1.679,1417.0,7.0,1.688,1424.0,3.0,1.692,1427.0,3.0,1.696,1430.0,2.0,1.702,1432.0,9.0,1.714,1441.0,8.0,1.724,1449.0,25.0,1.755,1474.0,38.0,1.802,1512.0,10.0,1.815,1522.0,15.0,1.834,1537.0,46.0,1.892,1583.0,39.0,1.941,1622.0,94.0,2.058,1716.0,155.0,2.251,1871.0,35.0,2.297,1906.0,0.095,2.297,1906.095,111.005,2.439,2017.1,97.006,2.563,2114.106,115.009,2.716,2229.114,-2229.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Daniel.DeMelo,1.859,1571.0,2.0,1.861,1573.0,1.0,1.863,1574.0,1.0,1.865,1575.0,2.0,1.868,1577.0,7.0,1.877,1584.0,10.0,1.89,1594.0,9.0,1.901,1603.0,6.0,1.912,1609.0,11.0,1.927,1620.0,4.0,1.933,1624.0,18.0,1.955,1642.0,19.0,1.979,1661.0,22.0,2.007,1683.0,60.0,2.08,1743.0,22.0,2.11,1765.0,22.0,2.138,1787.0,35.0,2.185,1822.0,61.0,2.265,1883.0,67.0,2.35,1950.0,0.217,2.35,1950.217,111.015,2.492,2061.233,50.005,2.559,2111.237,-2111.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Cristal.Azul.Otero,1.662,1405.0,0.0,1.663,1405.0,2.0,1.666,1407.0,0.0,1.666,1407.0,12.0,1.681,1419.0,6.0,1.689,1425.0,8.0,1.699,1433.0,13.0,1.715,1446.0,3.0,1.722,1449.0,4.0,1.728,1453.0,12.0,1.744,1465.0,12.0,1.758,1477.0,10.0,1.772,1487.0,18.0,1.795,1505.0,17.0,1.816,1522.0,33.0,1.859,1555.0,69.0,1.943,1624.0,33.0,1.987,1657.0,79.0,2.088,1736.0,73.0,2.18,1809.0,0.712,2.181,1809.712,97.017,2.305,1906.729,-1906.729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jonathan..Jon..Walker,1.564,1322.0,2.0,1.567,1324.0,3.0,1.571,1327.0,11.0,1.585,1338.0,2.0,1.587,1340.0,5.0,1.594,1345.0,11.0,1.608,1356.0,4.0,1.613,1360.0,4.0,1.621,1364.0,5.0,1.628,1369.0,5.0,1.635,1374.0,20.0,1.66,1394.0,31.0,1.698,1425.0,22.0,1.725,1447.0,15.0,1.745,1462.0,25.0,1.778,1487.0,10.0,1.791,1497.0,44.0,1.848,1541.0,68.0,1.935,1609.0,56.0,2.006,1665.0,0.2,2.006,1665.2,-1665.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Chris.Flanary,1.47,1242.0,6.0,1.477,1248.0,5.0,1.483,1253.0,5.0,1.49,1258.0,6.0,1.497,1264.0,9.0,1.509,1273.0,14.0,1.526,1287.0,13.0,1.542,1300.0,2.0,1.547,1302.0,15.0,1.566,1317.0,10.0,1.579,1327.0,10.0,1.592,1337.0,8.0,1.603,1345.0,51.0,1.665,1396.0,54.0,1.73,1450.0,21.0,1.758,1471.0,54.0,1.825,1525.0,34.0,1.869,1559.0,49.0,1.934,1608.0,-1608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Melodie.Beirwagen,1.339,1132.0,1.0,1.341,1133.0,5.0,1.347,1138.0,2.0,1.35,1140.0,11.0,1.364,1151.0,5.0,1.37,1156.0,4.0,1.375,1160.0,11.0,1.389,1171.0,5.0,1.397,1176.0,7.0,1.407,1183.0,13.0,1.423,1196.0,13.0,1.439,1209.0,43.0,1.492,1252.0,14.0,1.51,1266.0,9.0,1.522,1275.0,29.0,1.559,1304.0,22.0,1.587,1326.0,70.0,1.674,1396.0,-1396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Matthew..Matt..Anderson,0.893,755.0,1.0,0.895,756.0,13.0,0.91,769.0,5.0,0.917,774.0,6.0,0.924,780.0,9.0,0.935,789.0,1.0,0.937,790.0,6.0,0.944,796.0,0.0,0.946,796.0,9.0,0.957,805.0,12.0,0.972,817.0,10.0,0.985,827.0,27.0,1.018,854.0,24.0,1.047,878.0,15.0,1.066,893.0,31.0,1.105,924.0,40.0,1.154,964.0,-964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ahlam.K.Osman,0.839,709.0,7.0,0.847,716.0,1.0,0.849,717.0,1.0,0.85,718.0,6.0,0.858,724.0,1.0,0.859,725.0,8.0,0.869,733.0,12.0,0.884,745.0,1.0,0.886,746.0,3.0,0.891,749.0,12.0,0.906,761.0,6.0,0.913,767.0,5.0,0.92,772.0,12.0,0.935,784.0,10.0,0.948,794.0,33.0,0.989,827.0,-827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Heart.Free.Pham,0.646,546.0,2.0,0.648,548.0,9.0,0.659,557.0,4.0,0.664,561.0,5.0,0.671,566.0,7.0,0.679,573.0,5.0,0.685,578.0,6.0,0.693,584.0,5.0,0.7,589.0,9.0,0.711,598.0,8.0,0.721,606.0,6.0,0.729,612.0,20.0,0.753,632.0,17.0,0.774,649.0,12.0,0.789,661.0,-661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Luke.Zak,0.648,548.0,3.0,0.652,551.0,5.0,0.658,556.0,3.0,0.662,559.0,6.0,0.669,565.0,5.0,0.675,570.0,15.0,0.694,585.0,9.0,0.704,594.0,1.0,0.707,595.0,6.0,0.715,601.0,2.0,0.718,603.0,9.0,0.729,612.0,4.0,0.734,616.0,17.0,0.755,633.0,-633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Brian.Conley,0.599,506.0,1.0,0.6,507.0,9.0,0.611,516.0,9.0,0.622,525.0,4.0,0.627,529.0,10.0,0.639,539.0,8.0,0.649,547.0,5.0,0.655,552.0,2.0,0.658,554.0,12.0,0.673,566.0,9.0,0.684,575.0,6.0,0.692,581.0,17.0,0.713,598.0,-598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Terry.Parker,0.444,375.0,2.0,0.446,377.0,13.0,0.462,390.0,10.0,0.474,400.0,9.0,0.485,409.0,3.0,0.488,412.0,1.0,0.49,413.0,5.0,0.496,418.0,0.0,0.497,418.0,17.0,0.517,435.0,9.0,0.528,444.0,14.0,0.545,458.0,-458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Dan.Gilk,0.39,330.0,1.0,0.392,331.0,6.0,0.399,337.0,7.0,0.407,344.0,3.0,0.411,347.0,0.0,0.411,347.0,1.0,0.413,348.0,3.0,0.416,351.0,4.0,0.422,355.0,3.0,0.426,358.0,14.0,0.443,372.0,-372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Christopher.Brummer,0.311,263.0,1.0,0.312,264.0,0.0,0.313,264.0,5.0,0.319,269.0,1.0,0.32,270.0,2.0,0.322,272.0,2.0,0.325,274.0,4.0,0.33,278.0,1.0,0.332,279.0,5.0,0.338,284.0,-284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
John.Sweeney,0.279,236.0,3.0,0.283,239.0,8.0,0.292,247.0,4.0,0.297,251.0,2.0,0.3,253.0,4.0,0.305,257.0,3.0,0.308,260.0,6.0,0.315,266.0,5.0,0.322,271.0,-271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
writein,0.293,248.0,1.0,0.295,249.0,0.0,0.295,249.0,0.0,0.295,249.0,0.0,0.295,249.0,1.0,0.296,250.0,0.0,0.296,250.0,1.0,0.298,251.0,-251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kelly.Janes..KJ.,0.266,225.0,1.0,0.267,226.0,4.0,0.272,230.0,6.0,0.28,236.0,8.0,0.289,244.0,1.0,0.29,245.0,3.0,0.294,248.0,-248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Theo.Hathaway.Saner,0.259,219.0,1.0,0.26,220.0,5.0,0.266,225.0,0.0,0.266,225.0,3.0,0.27,228.0,5.0,0.276,233.0,-233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Patrick.Hilton,0.23,194.0,4.0,0.234,198.0,1.0,0.236,199.0,1.0,0.237,200.0,2.0,0.239,202.0,-202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Jaclyn.Smith.Moore,0.23,194.0,4.0,0.234,198.0,0.0,0.234,198.0,2.0,0.237,200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
David.O.Connor,0.206,174.0,2.0,0.208,176.0,1.0,0.21,177.0,-177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kenneth..Kent..R.Landgraver.III,0.204,172.0,2.0,0.206,174.0,-174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Clifford.Higgins,0.123,104.0,-104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,552.0,9.0,0.0,561.0,30.0,0.0,591.0,43.0,0.0,634.0,22.0,0.0,656.0,29.0,0.0,685.0,34.0,0.0,719.0,29.0,0.0,748.0,162.0,0.0,910.0,76.0,0.0,986.0,55.0,0.0,1041.0,31.0,0.0,1072.0,76.0,0.0,1148.0,56.0,0.0,1204.0,72.0,0.0,1276.0,139.0,0.0,1415.0,85.0,0.0,1500.0,171.0,0.0,1671.0,263.0,0.0,1934.0,140.0,0.0,2074.0,1.073,0.0,2075.073,288.025,0.0,2363.098,216.054,0.0,2579.152,418.066,0.0,2997.219,586.045,0.0,3583.264,601.103,0.0,4184.366,1322.092,0.0,5506.458,1286.304,0.0,6792.762,2636.975,0.0,9429.737,
colsum,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,-0.0,100.0,85067.0,-0.0,100.0,85067.0,-0.0,100.0,85067.0,0.0,100.0,85067.0,0.0,100.0,85067.0,-0.0,100.0,85067.0,-0.0,100.0,85067.0,-0.0,100.0,85067.0,0.0,100.0,85067.0,
