candidate,r1_active_percent,r1_count,r1_transfer,r2_active_percent,r2_count,r2_transfer,r3_active_percent,r3_count,r3_transfer,r4_active_percent,r4_count,r4_transfer,r5_active_percent,r5_count,r5_transfer,r6_active_percent,r6_count,r6_transfer,r7_active_percent,r7_count,r7_transfer,r8_active_percent,r8_count,r8_transfer,r9_active_percent,r9_count,r9_transfer,r10_active_percent,r10_count,r10_transfer,r11_active_percent,r11_count,r11_transfer,r12_active_percent,r12_count,r12_transfer,r13_active_percent,r13_count,r13_transfer,r14_active_percent,r14_count,r14_transfer,r15_active_percent,r15_count,r15_transfer,r16_active_percent,r16_count,r16_transfer,r17_active_percent,r17_count,r17_transfer,r18_active_percent,r18_count,r18_transfer,r19_active_percent,r19_count,r19_transfer
Keith.Wilson,33.678,104389.0,21.0,33.695,104410.0,43.0,33.72,104453.0,32.0,33.769,104485.0,41.0,33.801,104526.0,39.0,33.832,104565.0,97.0,33.886,104662.0,92.0,33.956,104754.0,94.0,34.011,104848.0,331.0,34.15,105179.0,318.0,34.28,105497.0,345.0,34.485,105842.0,503.0,34.705,106345.0,421.0,34.919,106766.0,674.0,35.222,107440.0,819.0,35.578,108259.0,7297.0,38.469,115556.0,11952.0,43.991,127508.0,26014.0,59.058,153522.0,
Carmen.Rubio,22.33,69215.0,11.0,22.341,69226.0,39.0,22.361,69265.0,41.0,22.399,69306.0,67.0,22.434,69373.0,50.0,22.462,69423.0,64.0,22.498,69487.0,85.0,22.552,69572.0,177.0,22.626,69749.0,220.0,22.718,69969.0,310.0,22.836,70279.0,92.0,22.928,70371.0,273.0,23.054,70644.0,378.0,23.229,71022.0,539.0,23.46,71561.0,629.0,23.724,72190.0,8377.0,26.821,80567.0,11609.0,31.802,92176.0,14255.0,40.942,106431.0,
Rene.Gonzalez,17.83,55267.0,26.0,17.844,55293.0,24.0,17.858,55317.0,47.0,17.893,55364.0,84.0,17.931,55448.0,96.0,17.971,55544.0,135.0,18.027,55679.0,127.0,18.09,55806.0,155.0,18.153,55961.0,201.0,18.235,56162.0,106.0,18.283,56268.0,360.0,18.45,56628.0,231.0,18.555,56859.0,465.0,18.749,57324.0,377.0,18.916,57701.0,257.0,19.047,57958.0,1147.0,19.676,59105.0,11058.0,24.207,70163.0,-70163.0,0.0,0.0,
Mingus.Mapps,12.801,39679.0,9.0,12.808,39688.0,35.0,12.824,39723.0,38.0,12.851,39761.0,51.0,12.874,39812.0,91.0,12.911,39903.0,48.0,12.935,39951.0,59.0,12.969,40010.0,144.0,13.025,40154.0,272.0,13.126,40426.0,199.0,13.2,40625.0,130.0,13.279,40755.0,212.0,13.369,40967.0,434.0,13.541,41401.0,537.0,13.748,41938.0,360.0,13.901,42298.0,2858.0,15.033,45156.0,-45156.0,0.0,0.0,0.0,0.0,0.0,
Liv..Viva..Osthus,6.513,20188.0,6.0,6.517,20194.0,46.0,6.534,20240.0,35.0,6.553,20275.0,54.0,6.574,20329.0,64.0,6.598,20393.0,53.0,6.62,20446.0,33.0,6.638,20479.0,271.0,6.731,20750.0,109.0,6.773,20859.0,482.0,6.934,21341.0,143.0,7.0,21484.0,519.0,7.18,22003.0,351.0,7.311,22354.0,364.0,7.448,22718.0,866.0,7.751,23584.0,-23584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Durrell.Kinsey.Bey,0.866,2685.0,9.0,0.869,2694.0,60.0,0.889,2754.0,8.0,0.893,2762.0,14.0,0.898,2776.0,54.0,0.916,2830.0,42.0,0.93,2872.0,41.0,0.944,2913.0,177.0,1.002,3090.0,48.0,1.019,3138.0,82.0,1.046,3220.0,86.0,1.077,3306.0,189.0,1.141,3495.0,96.0,1.174,3591.0,90.0,1.207,3681.0,-3681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Josh.Leake,0.755,2340.0,5.0,0.757,2345.0,18.0,0.763,2363.0,5.0,0.765,2368.0,23.0,0.773,2391.0,15.0,0.778,2406.0,20.0,0.785,2426.0,76.0,0.811,2502.0,46.0,0.827,2548.0,152.0,0.877,2700.0,108.0,0.912,2808.0,79.0,0.941,2887.0,184.0,1.002,3071.0,221.0,1.077,3292.0,-3292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Sharon.Nasset,0.693,2149.0,6.0,0.695,2155.0,19.0,0.702,2174.0,8.0,0.705,2182.0,33.0,0.716,2215.0,45.0,0.731,2260.0,47.0,0.747,2307.0,73.0,0.771,2380.0,83.0,0.799,2463.0,117.0,0.838,2580.0,123.0,0.878,2703.0,123.0,0.921,2826.0,220.0,0.994,3046.0,-3046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Michael.O.Callaghan,0.656,2033.0,14.0,0.661,2047.0,31.0,0.671,2078.0,7.0,0.674,2085.0,36.0,0.686,2121.0,23.0,0.694,2144.0,63.0,0.715,2207.0,89.0,0.744,2296.0,49.0,0.761,2345.0,130.0,0.804,2475.0,163.0,0.857,2638.0,185.0,0.92,2823.0,-2823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Martin.Ward,0.666,2064.0,8.0,0.669,2072.0,7.0,0.671,2079.0,8.0,0.675,2087.0,21.0,0.682,2108.0,24.0,0.69,2132.0,45.0,0.705,2177.0,56.0,0.724,2233.0,18.0,0.73,2251.0,59.0,0.75,2310.0,66.0,0.772,2376.0,-2376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alexander.Landry.Neely,0.601,1863.0,5.0,0.603,1868.0,35.0,0.614,1903.0,4.0,0.616,1907.0,20.0,0.623,1927.0,17.0,0.629,1944.0,44.0,0.644,1988.0,67.0,0.666,2055.0,46.0,0.682,2101.0,94.0,0.713,2195.0,-2195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Michael.Hayes,0.568,1760.0,8.0,0.571,1768.0,18.0,0.577,1786.0,11.0,0.581,1797.0,29.0,0.59,1826.0,15.0,0.596,1841.0,29.0,0.605,1870.0,99.0,0.638,1969.0,45.0,0.653,2014.0,-2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Shei.Meka..BeUtee..As.Salaam,0.376,1164.0,6.0,0.378,1170.0,20.0,0.384,1190.0,8.0,0.387,1198.0,74.0,0.411,1272.0,221.0,0.483,1493.0,20.0,0.49,1513.0,14.0,0.495,1527.0,-1527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
James.Macdonald,0.336,1041.0,58.0,0.355,1099.0,31.0,0.365,1130.0,4.0,0.367,1134.0,33.0,0.377,1167.0,25.0,0.386,1192.0,88.0,0.414,1280.0,-1280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Dustin.Witherspoon,0.301,934.0,15.0,0.306,949.0,13.0,0.311,962.0,4.0,0.312,966.0,16.0,0.318,982.0,16.0,0.323,998.0,-998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Saadiq.Ali,0.278,862.0,6.0,0.28,868.0,26.0,0.289,894.0,7.0,0.291,901.0,61.0,0.311,962.0,-962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Yao.Jun.He,0.258,801.0,6.0,0.26,807.0,12.0,0.264,819.0,13.0,0.269,832.0,-832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
writein,0.205,634.0,0.0,0.205,634.0,0.0,0.205,634.0,-634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
James.Atkinson.IV,0.184,571.0,9.0,0.187,580.0,-580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Michael.Necula,0.105,324.0,-324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
James.A.Zehren,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
exhaust,0.0,1533.0,96.0,0.0,1629.0,103.0,0.0,1732.0,354.0,0.0,2086.0,175.0,0.0,2261.0,167.0,0.0,2428.0,203.0,0.0,2631.0,369.0,0.0,3000.0,222.0,0.0,3222.0,281.0,0.0,3503.0,238.0,0.0,3741.0,833.0,0.0,4574.0,492.0,0.0,5066.0,680.0,0.0,5746.0,711.0,0.0,6457.0,750.0,0.0,7207.0,3905.0,0.0,11112.0,10537.0,0.0,21649.0,29894.0,0.0,51543.0,
colsum,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,0.0,100.0,311496.0,
